Reporting Period,Project Number,Legacy Project Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
11/30/2022,356178,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059414900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/12/2021,1/25/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],28,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,28,41288.77,,10.64,10506,,No,No,Yes,40.6887431,-73.5311732,POINT (-73.5311732 40.6887431)
11/30/2022,305554,,,Seaford,Nassau,NY,11783,Hempstead,Town,36059416100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/3/2021,7/28/2021,Complete,EmPower Solar,No,Enphase Energy Inc.,IQ7XS-96-y-ACM-z [240V],25,Sunpower,SPR-X22-360-E-AC,25,28766,,9,9514,,No,No,Yes,40.6566387,-73.4945963,POINT (-73.4945963 40.6566387)
11/30/2022,458313,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/26/2022,8/8/2022,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7A-72-2-US [240V],30,REC Solar,REC405AA Pure,30,41635,,12.15,13612,,No,No,Yes,40.7137448,-73.4701386,POINT (-73.4701386 40.7137448)
11/30/2022,255634,,,Elmont,Nassau,NY,11003,Hempstead,Town,36059404800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/9/2020,11/19/2020,Complete,EmPower Solar,No,SunPower,SPR-A415-G-AC [240V],26,Sunpower,SPR-A415-G-AC,26,34997.43,,10.79,11882,,No,No,Yes,40.7123634,-73.7093711,POINT (-73.7093711 40.7123634)
11/30/2022,264433,,,Baldwin,Nassau,NY,11510,Hempstead,Town,36059413500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/23/2020,12/11/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,Solaria Corporation,Solaria PowerXT-370R-PD,14,20253,,5.18,5736,,No,No,Yes,40.6693203,-73.6107541,POINT (-73.6107541 40.6693203)
11/30/2022,341319,,,Franklin Square,Nassau,NY,11010,Hempstead,Town,36059405700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/24/2021,12/7/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,17,30444.79,,6.46,7852,,No,No,Yes,40.6874984,-73.6774998,POINT (-73.6774998 40.6874984)
11/30/2022,189503,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/11/2019,8/14/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,"S-Energy Co., Ltd.",SN360M-10,17,23686.8,,6.12,6923,,No,No,Yes,40.6304882,-73.6436456,POINT (-73.6436456 40.6304882)
11/30/2022,255598,,,Glen Cove,Nassau,NY,11542,Glen Cove,City,36059517102,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/27/2020,1/21/2021,Complete,GreenLeaf Solar,No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],20,"S-Energy Co., Ltd.",SN370M-10(B),20,22491,,7.4,8704,,No,No,Yes,40.8779155,-73.6233099,POINT (-73.6233099 40.8779155)
11/30/2022,261203,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/1/2020,10/13/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],23,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,23,29694.47,,7.82,9146,,No,No,Yes,40.6229342,-73.6271897,POINT (-73.6271897 40.6229342)
11/30/2022,307013,,,Seaford,Nassau,NY,11783,Hempstead,Town,36059416100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/7/2021,7/28/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],31,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,31,43063.63,,11.78,13627,,No,No,Yes,40.6566387,-73.4945963,POINT (-73.4945963 40.6566387)
